ProductKey,ProductSubcategoryKey,Weight Unit Measure Code,Size Unit Measure Code,ProductName,Cost,Color,Safety Stock Level,Reorder Point,List Price,Size,Size Range,Weight,Days To Manufacture,Product Line,Dealer Price,Class,Style,Model Name,Product Description,Start Date,End Date,Status
1,NULL,NULL,NULL,Adjustable Race,NULL,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
2,NULL,NULL,NULL,Bearing Ball,NULL,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
3,NULL,NULL,NULL,BB Ball Bearing,NULL,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
4,NULL,NULL,NULL,Headset Ball Bearings,NULL,NA,800,600,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
5,NULL,NULL,NULL,Blade,NULL,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
6,NULL,NULL,NULL,LL Crankarm,NULL,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,"L ",NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
7,NULL,NULL,NULL,ML Crankarm,NULL,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,"M ",NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
8,NULL,NULL,NULL,HL Crankarm,NULL,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
9,NULL,NULL,NULL,Chainring Bolts,NULL,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
10,NULL,NULL,NULL,Chainring Nut,NULL,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
11,NULL,NULL,NULL,Chainring,NULL,Black,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
